120000.005700	-114.148 -31.6606
121000.005747	-113.495 -23.5475
122000.005795	-105.148 -40.6619
123000.005842	-112.006 -32.0481
124000.005890	-108.193 -13.7729
125000.005937	-129.593 -22.1527
126000.005985	-97.5608 -36.8372
127000.006032	-113.596 -39.8921
128000.006080	-115.443 -25.9613
129000.006127	-121.392 -39.4533
130000.006175	-102.713 -28.2697
131000.006222	-110.708 -26.577
132000.006270	-115.048 -29.1341
133000.006317	-115.711 -17.0396
134000.006365	-109.199 -41.8263
135000.006412	-121.73 -24.6046
136000.006460	-101.201 -38.6026
137000.006507	-106.083 -21.567
138000.006555	-112.972 -37.8865
139000.006602	-104.368 -24.2801
140000.006650	-113.408 -28.8702
141000.006697	-125.25 -26.8933
142000.006745	-116.333 -31.8606
143000.006792	-102.163 -33.3297
144000.006840	-114.498 -27.066
145000.006887	-96.2457 -30.1582
146000.006935	-95.2938 -29.4923
147000.006982	-111.554 -22.7739
148000.007030	-122.928 -35.8803
149000.007077	-110.392 -24.0621
150000.007125	-112.143 -18.8399
151000.007172	-126.439 -30.9431
152000.007220	-122.777 -26.127
153000.007267	-99.5222 -26.4824
154000.007315	-96.8747 -46.3488
155000.007362	-97.4498 -34.054
156000.007410	-117.817 -22.8396
157000.007457	-124.614 -39.9048
158000.007505	-108.818 -35.1464
159000.007552	-124.967 -18.8615
160000.007600	-112.466 -32.6829
161000.007647	-106.358 -33.7832
162000.007695	-117.547 -31.9389
163000.007742	-113.721 -32.9565
164000.007790	-107.38 -20.8191
165000.007837	-120.076 -37.4943
166000.007885	-110.949 -40.6442
167000.007932	-117.294 -21.7732
168000.007980	-114.298 -28.2326
169000.008027	-101.159 -31.3458
170000.008075	-106.047 -27.1055
171000.008122	-103.931 -23.1997
172000.008170	-87.7459 -33.9141
173000.008217	-126.986 -23.2634
174000.008265	-109.383 -28.1218
175000.008312	-108.038 -27.798
176000.008360	-107.186 -22.378
177000.008407	-121.565 -35.2422
178000.008455	-117.077 -31.1778
179000.008502	-117.464 -43.4765
180000.008550	-112.448 -30.233
181000.008597	-97.9918 -24.5048
182000.008645	-114.411 -39.8704
183000.008692	-115.034 -24.7522
184000.008740	-114.846 -40.0344
185000.008787	-122.246 -30.6976
186000.008835	-116.959 -33.0759
187000.008882	-95.1411 -36.2617
188000.008930	-114.164 -28.7357
189000.008977	-117.906 -28.3269
190000.009025	-110.704 -30.8483
191000.009072	-122.197 -37.4468
192000.009120	-110.668 -39.9604
193000.009167	-114.261 -37.266
194000.009215	-123.814 -30.0219
195000.009262	-108.971 -50.7703
196000.009310	-116.711 -35.2146
197000.009357	-120.226 -27.5746
198000.009404	-116.191 -24.2065
199000.009452	-119.457 -37.1121
200000.009499	-112.25 -37.344
201000.009547	-110.55 -33.2489
202000.009594	-110.61 -36.5482
203000.009642	-102.449 -30.0871
204000.009689	-106.359 -24.3508
205000.009737	-115.799 -39.1966
206000.009784	-118.61 -22.2681
207000.009832	-99.6111 -22.9716
208000.009879	-114.448 -22.1108
209000.009927	-120.379 -24.3636
210000.009974	-117.688 -36.5688
211000.010022	-100.539 -27.9263
212000.010069	-111.104 -20.7625
213000.010117	-103.013 -43.0662
214000.010164	-118.28 -26.4979
215000.010212	-103.113 -41.3982
216000.010259	-117.379 -19.8065
217000.010307	-104.939 -49.4938
218000.010354	-107.6 -31.8547
219000.010402	-118.581 -32.4677
220000.010449	-104.071 -17.5314
221000.010497	-109.411 -30.2122
222000.010544	-103.303 -47.904
223000.010592	-115.801 -33.1731
224000.010639	-110.354 -43.3233
225000.010687	-119.086 -41.4019
226000.010734	-108.959 -20.8816
227000.010782	-116.959 -36.9364
228000.010829	-134.174 -27.8597
229000.010877	-122.428 -22.5698
230000.010924	-109.872 -31.6429
